Task Name,Description,Assignee,Due Date,Priority,Section,Tags,Notes
Review previous community engagement,Analyze what worked well what needs improvement community feedback and attendance patterns,,Month -8,Medium,Foundation & Planning,retrospective;community,Read the retro doc and survey results at kickoff
Set community goals,Define attendee satisfaction targets virtual engagement survey response and diversity objectives,,Month -8,Medium,Foundation & Planning,goals;planning,Align with conference goals set at kickoff
Plan community building activities,Organize monthly meetups leading up to conference online campaigns and community spotlights,,Month -8,Low,Foundation & Planning,community;meetups,Year-round engagement, beyond the conference itself
Review Discord server structure,Evaluate channel organization roles/permissions bot functionality and moderation policies,,Month -8,Medium,Foundation & Planning,discord;planning,Identify improvements for this year
Plan Discord improvements,Determine new channels needed bot features to add/fix better onboarding and virtual attendee enhancements,,Month -8,Medium,Foundation & Planning,discord;planning,Scope slash commands to what will exist by conference: /poll /question /schedule first
Confirm bot maintainers,Verify the bot has a maintainer plus at least one second maintainer,,Month -8,High,Foundation & Planning,discord;planning,One-person bot ownership is a single point of failure
Review Code of Conduct,Check if CoC needs updates clear reporting procedures enforcement process and trained responders,,Month -8,High,Foundation & Planning,coc;review,Updated CoC must be posted before conference promotion
Post updated CoC on website,Coordinate with Marketing to publish updated Code of Conduct prominently,,Month -7,High,Foundation & Planning,coc;website,Make easily accessible to all attendees
Identify CoC response team,Select and train organizers who will handle CoC violations and incidents,,Month -7,High,Foundation & Planning,coc;training,Multiple trained responders needed
Clean up Discord server,Archive old conference channels create new year channels update descriptions update server icon/banner,,Month -7,High,Discord Setup & Launch,discord;setup,Fresh start for new conference year
Set up conference-specific channels,Create channels: general announcements cfp speakers sponsors virtual help random job-board voice,,Month -7,High,Discord Setup & Launch,discord;setup,Organized channel structure improves experience
Configure Discord roles,Set up: Organizer Speaker Sponsor Attendee (in-person) Attendee (virtual) Volunteer roles,,Month -7,Medium,Discord Setup & Launch,discord;setup,Proper permissions for each role
Test Discord bot functionality,Thoroughly test /register command role assignment ticket verification and error handling,,Month -7,High,Discord Setup & Launch,discord;testing,LESSON: /register fails on bulk corporate purchases (registering email vs attendee email)
Document bot manual workarounds,Create procedures for manually assigning roles when bot fails,,Month -7,High,Discord Setup & Launch,discord;documentation,Manual override process critical
Coordinate Discord bot improvements,Work with maintainers on better error messages manual override commands improved lookup virtual vs in-person,,Month -7,Medium,Discord Setup & Launch,discord;development,Bot changes go through PR review and meeting demos
Test Discord bot thoroughly,End-to-end testing of all bot commands and edge cases before conference promotion,,Month -6,High,Discord Setup & Launch,discord;testing,Catch issues before attendees experience them
Announce conference to community,Multi-channel announcement: email to previous attendees Discord social media forums local groups,,Month -7,High,Discord Setup & Launch,communications;launch,Coordinate with Marketing on messaging
