Task Name,Description,Assignee,Due Date,Priority,Section,Tags,Notes
Review previous financial performance,Analyze total revenue expenses profit/loss and variance from budget for previous year,,Month -12,High,Budget Planning & Goals,budget;retrospective,Foundation for setting realistic goals
Create next year's budget sheet,Create the new budget sheet during the current conference weekend by carrying forward last year's structure,,Month -12,High,Budget Planning & Goals,budget;planning,2026 practice: sheet created on day 1 of the prior conference. One guarded sheet: look don't edit
Set financial goals,Define target revenue max expense budget target profit and break-even attendance for this year,,Month -8,High,Budget Planning & Goals,budget;goals,Settle targets with the Conference Chair at kickoff
Present budget at kickoff,Share the budget with the Conference Chair and committee leads at the kickoff meeting,,Month -8,High,Budget Planning & Goals,budget;approval,Discuss any concerns or adjustments needed
Review previous sponsorship tiers,Evaluate what worked well for sponsors and gather feedback from previous year,,Month -8,Medium,Budget Planning & Goals,sponsorship;retrospective,Foundation for designing this year's tiers
Design sponsorship tiers,Create tier structure pricing and benefits including specialty tiers (Lanyard Captioning Food/Coffee Network Event),,Month -7,High,Budget Planning & Goals,sponsorship;planning,Calculate sponsors needed at each tier to hit the revenue goal
Get sponsorship tier approval,Present sponsorship structure to the Conference Chair for approval,,Month -7,High,Budget Planning & Goals,sponsorship;approval,Align expectations before prospectus creation
Create sponsorship prospectus,Design prospectus with conference overview demographics tiers benefits timeline and contact info,,Month -7,High,Sponsorship Launch,sponsorship;prospectus,Publish by early October: corporate budget season is the reason. Coordinate design with Marketing
Publish prospectus,Post the prospectus on the website and email it to the sponsor mailing list (per-year Google Group of sponsor contacts),,Month -6.5,High,Sponsorship Launch,sponsorship;outreach,Target the first week of October
Create sponsor target list,Research and identify potential sponsors: previous sponsors warm leads cold prospects,,Month -7,High,Sponsorship Launch,sponsorship;outreach,Prioritize: Tier 1 previous Tier 2 warm leads Tier 3 cold
Research sponsor contacts,Find marketing managers developer relations recruiting contacts for each target company,,Month -7,Medium,Sponsorship Launch,sponsorship;outreach,Note each prospect's fiscal-year end; budgets expire
Create sponsor tracking spreadsheet,Set up sheet tracking company contact tier status follow-up dates and notes,,Month -7,High,Sponsorship Launch,sponsorship;tracking,Update after every interaction
Email previous sponsors,Thank for past support announce new conference invite to sponsor again with prospectus,,Month -6.5,High,Sponsorship Launch,sponsorship;outreach,HIGHEST PRIORITY: Previous sponsors first!
Reach out to warm leads,Contact companies where we have connections or referrals,,Month -6,Medium,Sponsorship Launch,sponsorship;outreach,2025 was a record sponsorship year (multiples of any prior year)
Begin cold outreach,Start contacting target list companies without previous relationship,,Month -6,Low,Sponsorship Launch,sponsorship;outreach,Follow template from runbook
Follow up with prospects,Send follow-up emails calls or LinkedIn messages to unresponsive contacts,,Month -6 to -2,Medium,Sponsorship Launch,sponsorship;outreach,Follow-up after 1 week and 2 weeks
Have 1:1 calls with interested sponsors,Understand sponsor goals explain benefits customize pitch and close deals,,Month -6 to -2,High,Sponsorship Launch,sponsorship;sales,Personal relationships matter!
Clone sponsor agreement templates,Copy last year's per-tier agreement templates and update dates and benefits,,Month -5.5,High,Sponsorship Launch,sponsorship;contracts,One template per tier including specialty tiers
Prepare sponsor invoice template,Update the invoice template for this year's conference,,Month -4,Medium,Sponsorship Launch,sponsorship;invoicing,Invoice promptly after each commitment
Review PSF grant guidelines,Check Python Software Foundation grant timeline and requirements,,Month -4,Medium,Sponsorship Launch,grants;psf,Requires a published schedule CoC and policy links and a budget
Prepare PSF grant application,Write application covering conference overview budget community impact diversity and financial aid,,Month -3.5,High,Sponsorship Launch,grants;psf,Processing takes about 8 weeks
Submit PSF grant,File application about 3 months out and follow up on status,,Month -3.5,High,Sponsorship Launch,grants;psf,Apply earlier than feels necessary; external freezes happen without warning (2025)
Research other grant opportunities,Identify other potential grants from NumFocus corporate sources local business associations,,Month -6,Low,Sponsorship Launch,grants;research,Apply where appropriate
Review previous ticket pricing,Analyze price sensitivity and sales patterns from previous year,,Month -6,High,Ticket Strategy & Registration,tickets;retrospective,Foundation for pricing strategy
Determine ticket pricing tiers,Set prices for early bird/regular individual/corporate tutorial student networking event,,Month -5.5,High,Ticket Strategy & Registration,tickets;pricing,Calculate break-even attendance. Model revenue scenarios
Set ticket timeline,Confirm early bird opens December 1 and closes mid-January with the speaker list published the week of January 7,,Month -5.5,High,Ticket Strategy & Registration,tickets;pricing,2026 practice: Dec 1 open close moved from Jan 14 to Jan 19
Get pricing approval,Present ticket pricing strategy to the Conference Chair,,Month -5.5,High,Ticket Strategy & Registration,tickets;approval,Align on pricing before platform setup
Set up Pretix event,Configure event ticket types pricing dates and all settings in registration platform,,Month -5,High,Ticket Strategy & Registration,tickets;platform,Include demographic questions on ticket sales
Configure registration questions,Set up questions: dietary restrictions accessibility t-shirt demographics virtual etc,,Month -5,High,Ticket Strategy & Registration,tickets;platform,LESSON: Fold the intake form INTO the ticket purchase not a separate form!
Test registration flow,End-to-end testing of all ticket types email confirmations payments and data collection,,Month -5,High,Ticket Strategy & Registration,tickets;platform,Test thoroughly before launch. Verify mobile experience
Configure payment processing,Set up Stripe fee structure and refund policy,,Month -5,High,Ticket Strategy & Registration,tickets;platform,Stripe only for tickets; sponsors may also pay by EFT or purchase order
