Task Name,Description,Assignee,Due Date,Priority,Section,Tags,Notes
Review previous year's branding,Review previous year's logo and branding materials to determine if reuse or new design is needed,,Month -12,Medium,Foundation & Branding,branding;logo,Coordinate with Conference Chair on branding direction
Commission logo design,Select designer and provide conference details (dates theme anniversary context),,Month -11,High,Foundation & Branding,branding;logo,CRITICAL PATH: logo blocks swag and website work. Target finalization before kickoff
Finalize logo design,Review drafts provide feedback and finalize logo. Create variations (full color B&W dark mode SVG social square website header),,Month -10,High,Foundation & Branding,branding;logo,Deliver SVG and dark-mode variant to the website team
Onboard marketing lead,Read last year's marketing folder and the last two retros. Learn the hard deadlines. Write an expectations doc,,Month -8,High,Kickoff & Planning,onboarding;planning,Standard onboarding pattern for any new committee lead
Write marketing planning doc and campaign templates,Create the year's planning doc and campaign templates in the year's Drive folder,,Month -7,High,Kickoff & Planning,planning;templates,Include milestone table and speaker announcement template
Build reusable Canva campaign template,Create the campaign brand template in Canva for reuse across all milestone campaigns,,Month -7,High,Kickoff & Planning,design;templates,2026 built this 3.5 weeks out and flagged it for early reuse
Launch conference website,Prep the year's website repo and take it live before October 1,,Month -7,High,Kickoff & Planning,website,The monthly newsletter goes out on the 1st and must link the site
Set up weekly cadence themes,Schedule standing content: Monday quotes Wednesday tutorial recordings Friday community content,,Month -7,Medium,Kickoff & Planning,social-media;cadence,Keep a filler-content backlog between milestone campaigns
Create CFP campaign assets,Design CFP graphics in three sizes (Twitter-sized square and 1200x630),,Month -7,High,CFP Campaign,social-media;cfp;design,Use the Canva campaign template
Run CFP announcement campaign,Send one Mailchimp email and same-day posts on X Bluesky LinkedIn and Fosstodon when the CFP opens October 1,,Month -6.5,High,CFP Campaign,social-media;cfp;email,LinkedIn gets its own longer copy variant. Offer CFP-writing help via Discord
List CFP on aggregators,Submit the CFP to pythondeadlin.es and the python.org events calendar,,Month -6.5,Medium,CFP Campaign,cfp;listings,python.org listing is a 2025 retro item; pythondeadlin.es was added by the 2026 marketing onboarding doc
Schedule CFP reminder posts,CFP reminder posts through the window plus a mid-window push to Texas meetup lists,,Month -6.5 to -4.5,Medium,CFP Campaign,social-media;cfp,CFP closes early December
Publicize sponsor prospectus,Amplify the prospectus when Finance publishes it in early October,,Month -6.5,High,CFP Campaign,sponsors;social-media,Timed to corporate budget season
Verify ticket pages before early bird,Check ticket sales page Pretix links pricing info and FAQ before sales open,,Month -5,High,Ticket Campaigns,website;tickets,Early bird opens December 1
Announce early bird tickets,Launch the early bird campaign (email plus social) when tickets open December 1,,Month -4.5,High,Ticket Campaigns,social-media;tickets;email,Pace pushes through the window; the sell-out-early goal was missed in 2026
Collect speaker data for marketing,Get name socials and photo from each speaker at acceptance time,,Month -3.5,High,Speaker Campaigns,speakers;data,Chasing later stalls the reveal campaign; only 6 of ~15 had responded in 2026
Run Guess Who speaker campaign,Two posts per speaker (anonymized teaser then reveal) across five platforms starting January 15,,Week -13,High,Speaker Campaigns,social-media;speakers,Track copy and published-post links per speaker in a sheet
Run early bird countdown,Countdown campaign the week before early bird closes (~Jan 19),,Week -13,High,Ticket Campaigns,social-media;tickets,Coordinate close date with Finance and Venue
Issue Friends of PyTexas codes,Issue coupon codes via Pretix,,Week -13,Medium,Ticket Campaigns,tickets;community,Free tickets for Friends of PyTexas via codes
Promote opportunity grant deadline,Push the grant application deadline until it closes (~Week -8.5),,Week -12 to -8.5,Medium,Ticket Campaigns,grants;social-media,Coordinate with Finance on the close date
Run shirt last-chance campaign,Last-chance posts the week before shirt pre-orders close (~Week -5),,Week -6,High,Final Push,swag;social-media,Venue places the shirt order immediately after pre-orders close
Prep sponsor thank-you campaigns,One post before and one during the conference per sponsor,,Week -5,High,Sponsor Campaigns,sponsors;social-media,Only sponsors marked Approved To Market on the Finance sheet get posts
Update sponsor logos on website,Display paid sponsor logos with correct tier order and links,,Month -3,High,Sponsor Campaigns,website;sponsors,Check the Approved To Market gate before adding anyone
Publish Attendee Know Before You Go,Publish the attendee KBYG page (~5 weeks out) with Finance,,Week -5,High,Final Push,website;logistics,Cover check-in parking food and which days each ticket covers
Send Meetup.com announcement,Distribute the announcement to the four Texas metro meetups,,Week -3.5,Medium,Final Push,community;announcements,Austin DFW Houston and San Antonio
Run website freshness pass,Update the stale Speak section verify the sponsor page and add a what-to-bring page for first-time attendees,,Week -3,High,Final Push,website,The Speak section goes stale after CFP close every year
Send A/V recap data,Send recap-deck data to the A/V vendor early,,Week -8 to -6,Medium,Final Push,av;data,2026 flagged sending this early; the action item first appeared about 7.5 weeks out and was still open a month later
