Task Name,Description,Assignee,Due Date,Priority,Section,Tags,Notes
Review previous CFP process,Review last year's CFP outcomes and the last two retros for speaker-related action items,,Month -9,Medium,Planning & Preparation,cfp;retrospective,Document lessons learned before setting this year's timeline
Identify CFP topic gaps,Review previous proposals and identify topic areas to encourage in CFP promotion,,Month -9,Low,Planning & Preparation,cfp;planning,Feedback asks for more deep technical and design talks vs tool demos
Recruit tutorial presenters,Invite tutorial presenters directly starting with hallway conversations at PyCon US,,Month -11 to -8,High,Planning & Preparation,tutorials;recruiting,Tutorials are invited directly and are not part of the open CFP; keep a ranked shortlist with backups
Open keynote nomination form,Launch the keynote nomination Google Form at the kickoff meeting,,Month -8,High,Planning & Preparation,keynote;planning,Form lives in the year's Drive folder under Speakers
Set CFP timeline,Confirm the CFP opens October 1 and closes early December with review over the holidays and notifications around the new year,,Month -8,High,Planning & Preparation,cfp;planning,9-10 week window; October 1 open is the cycle's first hard deadline
Update CFP form questions,Review and update the Pretalx submission form (title abstract bio photo recording consent CoC agreement),,Month -7,High,Planning & Preparation,cfp;platform,Include a travel-assistance question; answers feed opportunity grant planning
Assemble review committee,Recruit reviewers from the committee and community and brief them on rubric and deadlines,,Month -7,High,Planning & Preparation,cfp;reviewers,Review and voting happen in Pretalx
Create review rubric,Define scoring criteria for relevance clarity originality feasibility and audience interest,,Month -7,Medium,Planning & Preparation,cfp;reviewers,Consistent rubric keeps review fair
Write CFP announcement,Draft CFP copy welcoming all levels and coordinate graphics and campaign schedule with Marketing,,Month -7,High,Planning & Preparation,cfp;content,Newsletter goes out the 1st of the month and must link the live site
Close keynote nominations,Close the nomination form at end of September and compile the candidate list,,Month -7,High,Planning & Preparation,keynote;planning,Prep the organizer election ballot next
Launch CFP in Pretalx,Open submissions October 1 and retest the submission flow,,Month -6.5,High,CFP Launch,cfp;platform,October 1 is the institutional open date
Announce CFP opening,Coordinate the launch campaign: newsletter social Discord python.org events and pythondeadlin.es,,Month -6.5,High,CFP Launch,cfp;communications,Send direct invitations to the past-speaker Google Group the same day
Run keynote organizer election,Run a ranked-ballot Google Form election among organizers scoring each candidate from +2 to -2,,Month -6.5,High,CFP Launch,keynote;selection,Compile results into a rankings doc with vote scores
