Task Name,Description,Assignee,Due Date,Priority,Section,Tags,Notes
Review previous venue experience,Analyze what worked well what needs improvement pricing capacity and library feedback,,Month -12,High,Venue Selection,venue;retrospective,Input for venue selection or contract renewal
Check for date conflicts,Verify conference dates don't conflict with Easter Passover Texas Relays Cap10k SXSW proximity or graduations,,Month -12,High,Venue Selection,venue;planning,CRITICAL: Use the Austin events conflict spreadsheet
Research alternative venues,If changing venues evaluate capacity cost location accessibility A/V layout parking transit,,Month -12,Medium,Venue Selection,venue;research,Compare options with site visits. Hotel routes have failed on room-block risk and F&B minimums
Schedule venue site visits,Visit top venue candidates with Conference Chair. Evaluate space acoustics power accessibility,,Month -12,Medium,Venue Selection,venue;research,LESSON: Acoustics matter! Check for echo issues
Get venue quotes,Obtain detailed quotes from venues including all fees add-ons and requirements,,Month -12,High,Venue Selection,venue;budget,Compare total cost including required add-ons
Negotiate venue contract,Work on pricing payment schedule cancellation policy insurance setup time A/V parking storage,,Month -13,High,Venue Selection,venue;contract,Library pricing may rise year over year. Target a signed next-year contract by Feb 1
Review and sign venue contract,Final contract review with Conference Chair and Finance Committee. Execute contract,,Month -12,High,Venue Selection,venue;contract,CRITICAL PATH: Next year's contract is signed right after the current conference
Pay venue deposit,Coordinate with Finance to pay 50% venue deposit per contract,,Month -12,High,Venue Selection,venue;payments,50% at signing with 14-day return deadline. Balance due about 3 months before the conference. Cancellation tiers at 91+/31-90/30 days
Define A/V requirements,Document all A/V needs: projectors confidence monitors sound recording livestream captioning speaker timer connectivity,,Month -7,High,A/V Vendor Selection,av;planning,Include tutorial room separate needs
Start A/V vendor outreach,Contact the A/V vendor and request a quote covering equipment on-site support setup recording livestream captioning,,Month -7,High,A/V Vendor Selection,av;vendors,Current vendor: Garner Media
Compare A/V vendor quotes,Evaluate price vs capabilities vs support. Consider backup equipment availability,,Month -6,High,A/V Vendor Selection,av;vendors,Quality support more important than lowest price
Select A/V vendor,Present recommendation to Conference Committee and select vendor,,Month -6,High,A/V Vendor Selection,av;vendors,Review contract for equipment specs hours included and additional charges
Sign A/V contract,Review and execute contract with selected A/V vendor,,Month -6,High,A/V Vendor Selection,av;contract,LESSON: Projector issues #1 problem. Ensure backup dongles Dell Apple HP
Pay A/V deposit,Coordinate with Finance to pay initial deposit per contract,,Month -3,Medium,A/V Vendor Selection,av;payments,Deposit at booking then installment near the event then final installment after
Start peace officer outreach,Line up two licensed peace officers for alcohol service (city requirement). Expect bounced contacts and slow responses,,Month -3,High,Alcohol Compliance,venue;alcohol,LESSON: Hiring can take a month of bounced emails and often closes through a personal contact. Start months out
Submit TABC permit,Apply for the TABC permit required for any alcohol service,,Week -6,High,Alcohol Compliance,venue;alcohol,LESSON: Approval is slow; a late submission can still be in review the day before the conference. Submit months ahead
Calculate attendee numbers,Estimate attendance for Friday Saturday Sunday plus organizers and volunteers (add 10% buffer),,Week -11,High,Catering Planning,catering;planning,Foundation for food quantity planning
Plan food for each day,Define breakfast snacks and beverages for Friday (tutorials) Saturday and Sunday (main conference),,Week -11,High,Catering Planning,catering;planning,LESSON: Better breakfast for tutorials. Consider brunch-style for Friday
Get catering quotes,Research options and get quotes for all food beverage and bartending needs across three days,,Week -9,Medium,Catering Planning,catering;vendors,Remind vendors 501(c)(3) status removes sales tax
Select catering approach,Choose caterers or grocery/self-service approach. Confirm deposits and headcounts. Coordinate budget with Finance,,Week -8.5,Medium,Catering Planning,catering;vendors,Deposits run roughly half of totals
Plan coffee service,Arrange barista bar or urn pickup. Regular and decaf tea options creamers sugar alternatives,,Week -8,Medium,Catering Planning,catering;beverages,Coffee is the largest catering friction and budget overrun. Consider a Food/Coffee sponsorship tier
Build catering plan sheet,Per-day blocks (breakfast coffee snacks all-day beverages) plus a who's-getting-what shopping tab with an owner per item,,Week -6,High,Catering Planning,catering;planning,Write down delivery windows: 7:30-8:00 AM breakfast and 2:00-2:30 PM afternoon
Plan cold beverages,Order water sodas healthy alternatives. IMPORTANT: Diet/Zero sodas preferred. Order ice online,,Week -6,Medium,Catering Planning,catering;beverages,LESSON: People prefer Diet/Zero sparkling water and fruit. Ordering ice online works
Plan dietary accommodations,Ensure vegetarian vegan gluten-free nut-free dairy-free options. Plan allergen labeling strategy,,Week -6,High,Catering Planning,catering;dietary,LESSON: Collecting dietary info in the final week is too late. Collect earlier. Clear labeling CRITICAL
Decide networking event approach,Choose venue type: bar/restaurant buyout venue-hosted or rooftop (weather dependent),,Month -6,High,Networking Event Planning,networking;planning,Walking distance from conference venue preferred. Default to an established off-site venue and the bar buyout model
Research networking event venues,Evaluate capacity (~150 people) food/beverage options cost accessibility noise level,,Month -6,Medium,Networking Event Planning,networking;venues,Can people actually network or too loud?
Visit networking venue candidates,Site visit top options to evaluate space and experience,,Month -6,Medium,Networking Event Planning,networking;venues,Consider atmosphere and networking conduciveness
Select networking event venue,Choose venue get quote and book. Confirm details,,Week -8,High,Networking Event Planning,networking;venues,Book about 11 weeks out. Deposits roughly half of totals
